Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),AnalogTemp ADC_Read
39804,27.138431549072266,-4.481945514678955,6.124367713928223,6.967126846313477,-0.07715632766485214,-0.025541404262185097,-0.4576168358325958,45.599998474121094,43.5,89.4000015258789,30.536645889282227,2026,3,28,9,1,19,29.3359375,28.9019718170166,97003,14.413763046264648,43522,0.0,0.0,0.0,0.0,0.0,,,,,,,30.8046875,30.969999313354492,17.34000015258789,,
40703,,-4.644751071929932,5.4252610206604,6.7277069091796875,0.06651407480239868,0.08354167640209198,0.03990844264626503,47.099998474121094,42.75,89.0999984741211,30.58456802368164,,,,,,,29.3359375,28.90512466430664,97003,14.413908958435059,44061,,,0.0,0.0,0.0,,,,,,,30.8046875,30.959999084472656,17.389999389648438,,
41600,27.138431549072266,-4.314351558685303,5.736507415771484,6.464344501495361,0.029266193509101868,0.023945065215229988,0.06598196178674698,46.5,45.599998474121094,87.75,30.72833824157715,2026,3,28,9,1,21,29.34375,28.90732765197754,97004,14.408973693847656,44991,1.1135857105255127,0.3808463215827942,0.0,0.0,0.0,,,,,,,30.8046875,30.93000030517578,17.420000076293945,,
42499,,-4.381389141082764,5.846640586853027,6.732495307922363,-0.017559714615345,0.028201965615153313,0.11759687960147858,46.650001525878906,44.54999923706055,90.44999694824219,30.6804141998291,,,,,,,29.34375,28.911739349365234,97005,14.419245719909668,45763,,,0.0,0.0,0.0,,,,,,,30.8046875,30.93000030517578,17.450000762939453,,
43396,27.138431549072266,-3.7014358043670654,5.937620162963867,6.282385349273682,0.3118179738521576,-0.04044055566191673,0.08513801544904709,44.849998474121094,46.5,89.4000015258789,30.536645889282227,2026,3,28,9,1,23,29.34375,28.914575576782227,97006,14.414340019226074,46511,0.0,0.0,0.0,0.0,0.0,,,,,,,30.8203125,30.940000534057617,17.5,,
44295,,-4.338293552398682,6.842628479003906,7.86734676361084,0.09099125117063522,0.2644599378108978,-0.1367529332637787,44.70000076293945,45.900001525878906,91.3499984741211,30.58456802368164,,,,,,,29.3515625,28.9155216217041,97006,14.414384841918945,47931,,,0.0,0.0,0.0,,,,,,,30.8203125,30.90999984741211,17.5,,
45192,27.138431549072266,-2.8634653091430664,5.70777702331543,6.636727333068848,-0.09737660735845566,-0.1207895576953888,0.025009291246533394,41.70000076293945,45.599998474121094,96.9000015258789,30.58456802368164,2026,3,28,9,1,24,29.3515625,28.918670654296875,97005,14.419563293457031,48920,0.5567928552627563,0.1904231607913971,0.0,0.0,0.0,,,,,,,30.7265625,30.799999237060547,17.540000915527344,,
46092,,-2.432508945465088,6.4595561027526855,6.708553314208984,-0.014367039315402508,0.19901010394096375,0.28414812684059143,41.099998474121094,48.0,95.55000305175781,30.72833824157715,,,,,,,29.3515625,28.922765731811523,97006,14.429826736450195,49401,,,0.0,0.0,0.0,,,,,,,30.578125,30.709999084472656,17.56999969482422,,
46989,27.138431549072266,-1.968033790588379,6.809109687805176,6.799532890319824,0.011174364015460014,0.05800027400255203,-0.05533970892429352,39.45000076293945,51.0,95.4000015258789,30.6804141998291,2026,3,28,9,1,26,29.359375,28.92654800415039,97006,14.445109367370605,50215,0.5567928552627563,0.1904231607913971,0.0,0.0,0.0,,,,,,,30.5859375,30.75,17.639999389648438,,
47888,,-1.4508862495422363,7.939172744750977,7.015010833740234,0.1223858892917633,-0.011174364015460014,-0.2575424909591675,36.75,54.900001525878906,94.80000305175781,30.488723754882812,,,,,,,29.359375,28.929697036743164,97005,14.440216064453125,50965,,,0.0,0.0,0.0,,,,,,,30.609375,30.739999771118164,17.670000076293945,,
