Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog ADC
42577,29.479116439819336,0.9720458984375,-0.14844051003456116,9.730035781860352,-0.0015963377663865685,0.00691746361553669,-0.021284503862261772,-10.800000190734863,9.600000381469727,78.44999694824219,27.18204689025879,2000,1,0,0,1,2,25.515625,25.29848861694336,96895,17.28221321105957,105263,1.1111111640930176,0.3800000250339508,0.0,0.0,0.0,,,,,,,25.5234375,25.56999969482422,21.90999984741211,,567
43478,,1.0199298858642578,-0.09576806426048279,9.715670585632324,0.0005321126081980765,0.006385351065546274,-0.02234872803092003,-10.199999809265137,10.649999618530273,80.0999984741211,26.9903564453125,,,,,,,25.515625,25.298175811767578,96895,17.282197952270508,106113,,,0.0,0.0,0.0,,,,,,,25.5234375,25.549999237060547,21.93000030517578,,595
44377,29.479116439819336,0.9768342971801758,-0.12449848651885986,9.749189376831055,-0.001064225216396153,0.002128450432792306,-0.017559714615345,-11.399999618530273,10.199999809265137,82.6500015258789,26.9903564453125,2000,1,0,0,1,3,25.5078125,25.298175811767578,96895,17.292438507080078,107112,0.5558643937110901,0.1901056170463562,0.0,0.0,0.0,,,,,,,25.515625,25.579999923706055,21.90999984741211,,570
45278,,1.0055646896362305,-0.15322890877723694,9.701305389404297,-0.005853238515555859,0.0026605629827827215,-0.023412954062223434,-10.800000190734863,12.0,80.25,27.18204689025879,,,,,,,25.5078125,25.298805236816406,96896,17.2822322845459,107653,,,0.0,0.0,0.0,,,,,,,25.515625,25.59000015258789,21.920000076293945,,600
46176,29.947261810302734,1.0247182846069336,-0.14365209639072418,9.720458984375,0.0005321126081980765,-0.0015963377663865685,-0.019688164815306664,-8.25,11.25,79.5,26.798664093017578,2000,1,0,0,1,5,25.515625,25.300065994262695,96896,17.277179718017578,108268,0.5555555820465088,0.1900000125169754,0.0,0.0,0.0,,,,,,,25.5078125,25.549999237060547,21.940000534057617,,569
47077,,0.9959878921508789,-0.1388636976480484,9.730035781860352,-0.0047890134155750275,0.001064225216396153,-0.017559714615345,-9.899999618530273,10.949999809265137,78.30000305175781,27.18204689025879,,,,,,,25.515625,25.29974937438965,96895,17.292518615722656,108681,,,0.0,0.0,0.0,,,,,,,25.5078125,25.559999465942383,21.93000030517578,,594
47976,29.947261810302734,1.0295066833496094,-0.15322890877723694,9.734824180603027,-0.007449576165527105,0.005853238515555859,-0.021816615015268326,-8.399999618530273,12.600000381469727,78.9000015258789,26.89451026916504,2000,1,0,0,1,7,25.515625,25.301639556884766,96895,17.287500381469727,108681,0.0,0.0,0.0,0.0,0.0,,,,,,,25.5078125,25.579999923706055,21.950000762939453,,569
48877,,0.9864110946655273,-0.15322890877723694,9.730035781860352,0.0005321126081980765,0.00691746361553669,-0.025009291246533394,-8.399999618530273,11.699999809265137,77.55000305175781,27.038278579711914,,,,,,,25.515625,25.304161071777344,96895,17.292753219604492,108820,,,0.0,0.0,0.0,,,,,,,25.5078125,25.540000915527344,21.940000534057617,,601
49776,29.947261810302734,0.9481038451194763,-0.14365209639072418,9.710882186889648,-0.005321125965565443,0.0,-0.017559714615345,-9.75,11.25,78.75,27.038278579711914,2000,1,0,0,1,9,25.515625,25.305421829223633,96895,17.28769874572754,110870,0.5558643937110901,0.1901056170463562,0.0,0.0,0.0,,,,,,,25.5078125,25.549999237060547,21.899999618530273,,575
50676,,0.9624691009521484,-0.14844051003456116,9.75397777557373,-0.005321125965565443,-0.001064225216396153,-0.017027603462338448,-11.550000190734863,10.5,81.0,26.798664093017578,,,,,,,25.515625,25.30668067932129,96895,17.27752685546875,111159,,,0.0,0.0,0.0,,,,,,,25.5,25.559999465942383,21.940000534057617,,590
51575,29.947261810302734,1.0199298858642578,-0.20111294090747833,9.68694019317627,-0.001064225216396153,0.0026605629827827215,-0.017559714615345,-12.600000381469727,11.550000190734863,81.75,26.798664093017578,2000,1,0,0,1,11,25.5234375,25.309200286865234,96894,17.277660369873047,111376,0.5555555820465088,0.1900000125169754,0.0,0.0,0.0,,,,,,,25.4921875,25.579999923706055,21.950000762939453,,574
52476,,0.9911994934082031,-0.1628057211637497,9.691728591918945,-0.004256900865584612,0.006385351065546274,-0.025541404262185097,-12.0,12.149999618530273,80.0999984741211,26.9903564453125,,,,,,,25.5234375,25.311092376708984,96894,17.282878875732422,111814,,,0.0,0.0,0.0,,,,,,,25.4921875,25.559999465942383,21.950000762939453,,596
53375,29.947261810302734,0.9864110946655273,-0.12928688526153564,9.710882186889648,0.001064225216396153,0.0037247880827635527,-0.014367039315402508,-8.699999809265137,12.600000381469727,78.9000015258789,26.9903564453125,2000,1,0,0,1,12,25.5234375,25.312036514282227,96894,17.26757049560547,112552,0.5558643937110901,0.1901056170463562,0.0,0.0,0.0,,,,,,,25.4921875,25.559999465942383,21.959999084472656,,577
54276,,0.9720458984375,-0.1628057211637497,9.758766174316406,-0.005853238515555859,0.0015963377663865685,-0.014367039315402508,-10.649999618530273,11.399999618530273,78.30000305175781,27.18204689025879,,,,,,,25.5234375,25.31424331665039,96894,17.267688751220703,112256,,,0.0,0.0,0.0,,,,,,,25.4921875,25.540000915527344,21.940000534057617,,587
55175,29.947261810302734,0.9720458984375,-0.13407529890537262,9.706093788146973,-0.0026605629827827215,0.009578026831150055,-0.018091827630996704,-8.399999618530273,11.399999618530273,78.9000015258789,27.086200714111328,2000,1,0,0,1,14,25.53125,25.31361198425293,96894,17.267656326293945,113299,1.1111111640930176,0.3800000250339508,0.0,0.0,0.0,,,,,,,25.484375,25.540000915527344,21.950000762939453,,573
56076,,0.9624691009521484,-0.15322890877723694,9.725247383117676,-0.0037247880827635527,0.009578026831150055,-0.018091827630996704,-6.900000095367432,11.699999809265137,76.5,27.038278579711914,,,,,,,25.53125,25.315502166748047,96894,17.26775360107422,113601,,,0.0,0.0,0.0,,,,,,,25.484375,25.540000915527344,21.950000762939453,,589
